# Medieval and Renaissance
> Chant, polyphony, and early vocal music from Hildegard through Palestrina, Byrd, and the Renaissance madrigalists and motet composers.
Thomas Tallis | English Renaissance composer of Tudor sacred music, including the 40-voice motet Spem in Alium.
divertimento | Light, multi-movement Classical-era genre intended for entertainment, as in Mozart's examples.
Dresden amen | Rising liturgical musical phrase used in Dresden court chapel worship, quoted by Wagner in Parsifal.
dumka | Slavic ballad form alternating melancholy and lively sections, used by Dvorak in his Dumky Trio.
dynamics | Musical notation for varying loudness, from pianissimo to fortissimo.
E-flat | Pitch and key name associated with works including Beethoven's "Eroica" Symphony.
Egypt | Common-link country tied to the setting of Verdi's opera Aida.
electric guitar | Amplified string instrument central to jazz, rock, and popular music since the 20th century.
Fantasia | Disney animated film pairing classical works, including Stravinsky and Dukas, with Stokowski's orchestra.
foxtrot | Smooth, duple-meter ballroom dance genre popular in the jazz age.
fugues | Plural of the contrapuntal form built on a subject imitated across voices, perfected by Bach.
Funeral Marches | Somber processional pieces, as in the famous movement of Chopin's Piano Sonata No. 2.
G major | Key associated with works including Haydn's "Surprise" Symphony.
George Balanchine | Russian-American choreographer who collaborated closely with Stravinsky on numerous ballets.
Georgia | Common-link place-name, referring to either the U.S. state or the Caucasus country.
glass harmonica | Instrument of spinning glass bowls played by touch, invented by Benjamin Franklin and used by Mozart.
Gloria | Mass movement of praise beginning "Glory to God in the highest," set by composers including Poulenc.
gong | Suspended metal percussion instrument producing sustained resonant tone, used in gamelan and orchestras.
guitars | Plural of the plucked string instrument central to Spanish, Latin American, and jazz traditions.
Gustavo Dudamel | Venezuelan conductor and product of the El Sistema program, longtime Los Angeles Philharmonic director.
harmonica | Small handheld free-reed wind instrument central to blues and folk traditions.
Herbert von Karajan | Austrian conductor who led the Berlin Philharmonic for decades, among the most recorded conductors ever.
hymns | Strophic songs of praise or worship, foundational to Protestant chorale and congregational singing.
inversion | Music theory term for rearranging a chord's or melody's pitches, as in first and second inversion.
Jamaica | Common-link country associated with reggae and related Caribbean musical traditions.
Kaddish | Jewish mourner's prayer, also the title and inspiration for Bernstein's Symphony No. 3.
Kingdom of Denmark | Full formal name of the country associated with nationalist symphonist Carl Nielsen.
koto | Long Japanese plucked zither with movable bridges, central to traditional Japanese music.
lieder | German art song genre for voice and piano, central to Schubert, Schumann, and Wolf.
Luigi | Common composer first name, shared by Boccherini and Cherubini among others.
magnetic tape | Recording medium enabling musique concrete and early electronic music composition and manipulation.
marches | Plural of the steady processional genre associated with military bands and composers like Sousa.
mazurka | Polish triple-meter dance form elevated to the concert repertoire by Chopin.
metronomes | Tempo-keeping devices, famously deployed en masse in Ligeti's Poeme symphonique for 100 metronomes.
Nigeria | Common-link African country occasionally tied to traditional drumming and Afrobeat's musical roots.
night | Recurring musical descriptor, as in Schoenberg's Transfigured Night and Chopin's nocturnes.
nocturne | Lyrical, dreamlike character piece genre popularized by John Field and perfected by Chopin.
oboes | Plural of the double-reed woodwind that tunes the orchestra.
octave | Interval spanning eight scale degrees between two pitches of the same name.
ondes Martenot | Early electronic instrument with an eerie, gliding tone, prominently used by Messiaen.
orchestration | Craft of assigning musical material to specific instruments, treated in Rimsky-Korsakov's famous manual.
overture | Orchestral opening piece to an opera or standalone concert work, as in many Classical-era operas.
perfect fifth | Consonant interval spanning seven semitones, foundational to Western tonal harmony.
perfect fourth | Consonant interval spanning five semitones, common in cadential and modal contexts.
Philadelphia | American city home to the Philadelphia Orchestra and its historically lush "Philadelphia Sound."
pianos | Plural of the hammered keyboard instrument central to solo, chamber, and concerto repertoire.
Picardy third | Technique of ending a minor-key work on a major chord, common in the Baroque era.
Pierre | Common composer first name, notably conductor-composer Pierre Boulez.
Prague | Czech city where Mozart's Don Giovanni premiered to great acclaim.
Pulitzer Prize for Music | American award honoring distinguished musical composition, won by figures from Copland to Jennifer Higdon.
Pythagoras | Ancient Greek philosopher credited with discovering the mathematical ratios underlying musical intervals.
Ralph Kirkpatrick | American harpsichordist who catalogued Domenico Scarlatti's sonatas, giving them their standard numbering.
reeds | Plural term for the vibrating strips that produce sound in woodwind instruments like the oboe and clarinet.
Republic of Finland | Full formal name of the country associated with nationalist composer Jean Sibelius.
ricercar | Early contrapuntal instrumental form that developed into the fugue.
romantic | Generic era descriptor for 19th-century music emphasizing emotion, individuality, and expanded scale.
rondeau | Medieval and Renaissance French poetic-musical form with a recurring refrain.
Salzburg | Austrian city where Mozart was born, now home to a major summer music festival.
Samuel | Common composer first name, shared by Samuel Barber and Samuel Coleridge-Taylor.
sinfonia concertante | Classical-era genre pairing multiple soloists with orchestra, as in Mozart's example for violin and viola.
sixth | Common numeric answer, as in a work's sixth symphony or the interval of a sixth.
solfege | Movable-do singing system for pitches (do-re-mi), originating with medieval theorist Guido of Arezzo.
sonata-allegro form | Structural form with exposition, development, and recapitulation, the backbone of Classical-era first movements.
spring | Recurring musical subject, as in Vivaldi's "Spring" concerto and Stravinsky's Rite of Spring.
string quintet | Chamber genre for five string players, often a quartet plus an extra viola or cello.
swans | Recurring musical image, as in Tchaikovsky's Swan Lake and Sibelius's The Swan of Tuonela.
Sweden | Common-link country occasionally tied to Scandinavian classical and folk traditions.
Symphony No. 8 | Common symphony-number answer across composers, including Schubert's "Unfinished" and Dvorak's Eighth.
synesthesia | Perceptual phenomenon linking senses, associated with composers Scriabin and Messiaen's color-linked hearing.
the sea | Recurring musical subject, as in Debussy's La mer and Britten's Four Sea Interludes.
third | Common numeric answer, as in a work's third symphony or the musical interval of a third.
trumpet concerto | Concerto genre for solo trumpet and orchestra, with landmark examples by Haydn and Hummel.
United States | Common-link country for American concert music, jazz, and musical theater.
vibraphone | Mallet percussion instrument with metal bars and motorized resonators, common in jazz.
vibrato | Technique of slight, rapid pitch oscillation used to add warmth and expression to a tone.
Violincello | Variant spelling of violoncello, the formal name for the cello.
virginal | Small rectangular Renaissance keyboard instrument favored by English virginalist composers.
Wanda Landowska | Polish harpsichordist who led the 20th-century revival of the harpsichord in modern performance.
whole tone scale | Six-note scale of equally spaced whole steps, associated with Debussy's Impressionist harmony.
"Frere Jacques" | French folk round quoted in a minor-key funeral march in Mahler's Symphony No. 1.
3 | Common numeric answer, as in a work's third symphony or movement count.
8 | Common numeric answer, as in a work's eighth symphony or movement count.
A | Common pitch letter and key name, as in A major or A minor.
a cappella | Unaccompanied vocal singing style, standard for Renaissance sacred polyphony.
A-flat major | Key associated with works including Chopin's "Heroic" Polonaise.
absolute music | Aesthetic concept of music without extramusical narrative, contrasted with program music.
Agnes de Mille | American choreographer who staged Copland's ballet Rodeo, blending ballet and American folk dance.
Agnus Dei | Final movement of the mass ordinary, its Latin text meaning "Lamb of God."
Alban | Common composer first name, notably Alban Berg.
Alberti bass | Broken-chord keyboard accompaniment pattern common in Classical-era music, named for Domenico Alberti.
allemande | Moderate-tempo Baroque dance form, typically the opening movement of an instrumental suite.
American | Common-link nationality descriptor for concert music, jazz, and musical theater in the United States.
American Revolution | Historical event referenced in patriotic American concert works and musical theater.
antiphony | Call-and-response texture between separated choirs, developed in Venetian polychoral music.
Anton | Common composer first name, shared by Anton Bruckner, Anton Webern, and Anton Dvorak.
Antonio | Common composer first name, shared by Antonio Vivaldi and Antonio Salieri.
Anvils | Struck metal percussion instrument used orchestrally, notably in Verdi's "Anvil Chorus" from Il Trovatore.
Art | Common first name shared by jazz drummer Art Blakey and pianist Art Tatum.
BACH motif | Musical cryptogram spelling B-flat, A, C, B-natural, used as homage by many composers after Bach.
bagatelles | Short, light character pieces, notably a set by Beethoven including "Fur Elise."
ballet | Staged dance genre with orchestral accompaniment, central to Tchaikovsky and Stravinsky's output.
bass clarinet | Low-register member of the clarinet family with a distinctive curved bell.
bassoons | Plural of the double-reed woodwind providing the bass voice of the woodwind section.
bows | Plural of the horsehair-strung sticks used to sound string instruments.
Canada | Common-link country occasionally tied to performers like Glenn Gould.
caprices | Virtuosic character pieces, most famously Paganini's 24 Caprices for solo violin.
Carl | Common composer first name, shared by Carl Orff, Carl Nielsen, and Carl Czerny.
Carlos Kleiber | Austrian-German conductor revered for rare, intensely prepared performances and recordings, especially of Beethoven.
castrati | Castrated male singers prized in Baroque and Classical opera for their powerful high voices.
cathedrals | Sacred architectural spaces central to the development of Western liturgical and organ music.
cello sonata | Chamber genre for cello and piano, with notable examples by Beethoven, Brahms, and Rachmaninoff.
Charles Rosen | American pianist and scholar known for the influential study The Classical Style.
choro | Instrumental Brazilian popular music genre blending European dance forms with syncopated improvisation.
circular breathing | Wind-playing technique allowing continuous tone by breathing in through the nose while playing.
circuses | Recurring musical association, as in Stravinsky's Circus Polka written for elephants.
clarinet concerto | Concerto genre for solo clarinet and orchestra, with landmark examples by Mozart and Copland.
clarinet concertos | Plural of the concerto genre for solo clarinet and orchestra, exemplified by Mozart's and Copland's works.
clocks | Recurring musical association, notably Haydn's "Clock" Symphony with its ticking accompaniment.
Col legno | String-playing technique striking the strings with the wood of the bow for a dry, percussive sound.
Columbia Records | American record label with a long history in both classical and jazz recording.
crescendo | Dynamic marking indicating a gradual increase in loudness.
Czechoslovakia | Former country associated with composers Dvorak, Smetana, and Janacek.
D-flat major | Key associated with works including Chopin's "Raindrop" Prelude.
death | Recurring musical theme, treated in works from Schubert's "Death and the Maiden" to Mahler's symphonies.
Denmark | Common-link country associated with nationalist symphonist Carl Nielsen.
dissonance | Combination of pitches perceived as unstable or clashing, requiring resolution in tonal music.
Domenico | Common composer first name, notably Domenico Scarlatti.
Donald Tovey | British musicologist and pianist known for his influential Essays in Musical Analysis.
double stop | String technique of playing two strings simultaneously to produce harmony.
dreams | Recurring musical subject, as in Schumann's "Traumerei" and Wagner's "Traume."
Dresden | German city where several Wagner and Strauss operas premiered, home to the Semperoper.
drones | Sustained pitches underlying a melody, characteristic of bagpipes and minimalist works.
duduk | Armenian double-reed woodwind with a soft, mournful tone.
Easter | Recurring liturgical occasion marked by sacred choral and orchestral works.
enharmonic | Music theory term for pitches that sound identical but are notated differently, like C-sharp and D-flat.
F major | Key associated with works including Beethoven's "Pastoral" Symphony.
F minor | Minor key used in various Romantic-era piano and chamber works.
F-sharp minor | Minor key occasionally used for dramatic Romantic-era works.
fantasias | Plural of the free-form instrumental genre unbound by strict formal conventions.
fate | Recurring musical theme, most famously the four-note "fate" motif opening Beethoven's Fifth Symphony.
fermata | Notation symbol indicating a note or rest should be held longer than its written value.
film score | Orchestral music composed for cinema, a genre spanning Bernard Herrmann to John Williams.
Flanders | Region associated with early Renaissance Franco-Flemish composers like Dufay and Josquin.
flowers | Recurring musical image across pastoral and programmatic orchestral works.
fourth | Common numeric answer, as in a work's fourth symphony or the interval of a fourth.
French horns | Plural of the coiled brass instrument with a mellow tone, prominent in Romantic symphonic writing.
Gabriel | Common composer first name, notably Gabriel Faure.
German | Common-link nationality descriptor for the core Austro-German symphonic and operatic canon.
Gioachino | Common composer first name, notably Gioachino Rossini.
Greece | Common-link country tied to ancient Greek music theory and modern composers like Xenakis.
Greek | Common-link adjective for ancient Greek music theory's influence on later Western tuning and modes.
harmonics | String technique producing high, bell-like overtones by lightly touching a vibrating string.
hemiola | Rhythmic device shifting the perceived grouping of beats, common in Baroque and Brahms's music.
Hilary Hahn | Contemporary American concert violinist known for a wide-ranging repertoire and acclaimed recordings.
Historically Informed Performance | Movement using period instruments and techniques to approximate a work's original sound.
hunting | Recurring musical association, evoked through horn calls in orchestral and chamber works.
Iceland | Common-link country occasionally tied to contemporary Nordic composers.
Igor | Common composer first name, notably Igor Stravinsky.
incidental music | Music composed to accompany a play, as in Mendelssohn's score for A Midsummer Night's Dream.
Italian | Common-link nationality descriptor central to opera's birth and the Baroque violin tradition.
Jews | Ethnic and religious group referenced across musical traditions, from klezmer to Bloch's Jewish-themed concert works.
Joshua Bell | Contemporary American concert violinist known for a broad repertoire and crossover recordings.
klezmer | Ashkenazi Jewish instrumental folk genre traditionally played at weddings and celebrations.
landler | Austrian and Bavarian folk dance in triple meter, a direct precursor to the waltz.
lied | German art song genre for voice and piano, central to Schubert, Schumann, and Wolf.
London Symphony Orchestra | Prominent British orchestra founded in 1904, noted for extensive recording work including film scores.
London, England | British capital and major musical center, home to Haydn's late symphonies' premieres.
Los Angeles Philharmonic | American orchestra based at Walt Disney Concert Hall, led in recent decades by Gustavo Dudamel.
Los Angeles, California | American city home to the Los Angeles Philharmonic and a major center of the film-scoring industry.
Lyric | Common descriptive title, as in Grieg's Lyric Pieces for solo piano.
Magnificat | Biblical canticle of Mary set by many composers, notably in a festive setting by Bach.
mandolin | Small plucked string instrument with paired strings, used in folk, classical, and bluegrass music.
marimba | Wooden-barred mallet percussion instrument with resonating tubes, larger and lower than the xylophone.
Marin Alsop | American conductor, the first woman to serve as music director of a major U.S. orchestra.
Michael Tilson Thomas | American conductor long associated with the San Francisco Symphony.
minuets | Plural of the triple-meter Baroque and Classical dance form, often used as a symphony movement.
Modest | Common composer first name, notably Modest Mussorgsky.
natural horn | Valveless predecessor to the modern French horn, limited to notes of the harmonic series.
Nikolai | Common composer first name, notably Nikolai Rimsky-Korsakov.
ophicleide | Obsolete keyed brass instrument, a precursor to the tuba used by Mendelssohn and Berlioz.
oud | Pear-shaped fretless lute central to Middle Eastern and North African musical traditions.
panpipes | Ancient wind instrument made of graduated tubes bound together, found in many folk traditions.
partita | Baroque term for an instrumental suite, as in Bach's partitas for solo violin and keyboard.
Passion | Large-scale sacred genre setting the biblical narrative of Christ's suffering and death, as in Bach's settings.
passions | Plural of the sacred genre setting the biblical narrative of Christ's suffering and death.
Paul Sacher | Swiss conductor and patron who commissioned numerous 20th-century works, including Bartok's Music for Strings, Percussion and Celesta.
perfect | Music theory descriptor for stable intervals like the fourth, fifth, and octave.
Phrygian | Church mode with a distinctive half-step above the tonic, used in folk and modal jazz contexts.
piano etudes | Technical study pieces for solo piano, most famously Chopin's exploring specific difficulties.
pipa | Pear-shaped plucked Chinese lute with a bright, percussive tone.
pitch | Perceived frequency of a musical tone, the basis for melody and harmony.
player piano | Self-playing mechanical piano using perforated rolls, exploited for impossible rhythms by Conlon Nancarrow.
polka | Lively duple-meter dance genre of Czech origin, popular across Central Europe.
Pope | Head of the Catholic Church, historically a major patron of sacred polyphony and church music.
Portugal | Common-link country associated with fado music and Iberian musical traditions.
psalms | Biblical texts frequently set to music, as in Stravinsky's Symphony of Psalms.
quodlibet | Technique combining multiple tunes simultaneously, as in the finale of Bach's Goldberg Variations.
recapitulation | Final section of sonata form, restating the exposition's themes in the home key.
Republic of Cuba | Full formal name of the country associated with danzon and Afro-Cuban musical traditions.
Republic of Poland | Full formal name of the country associated with Chopin and 20th-century composers Penderecki and Lutoslawski.
Republic of Turkey | Full formal name of the country occasionally tied to Ottoman-influenced classical works.
requiems | Plural of the mass for the dead, set memorably by Mozart, Verdi, Faure, and Brahms.
Richard | Common composer first name, shared by Richard Wagner and Richard Strauss.
Robert | Common composer first name, notably Robert Schumann.
Roma | Italian name for Rome, the city tied to the Roman School of Renaissance polyphony.
samba | Brazilian dance and music genre central to Carnival celebrations.
Schenkerian analysis | Reductive analytical method devised by Heinrich Schenker tracing tonal works to an underlying structural line.
serenades | Plural of the light genre originally meant for outdoor evening performance.
Serge Koussevitzky | Russian-American conductor and longtime Boston Symphony director who commissioned many major 20th-century works.
sheet music | Printed musical notation, historically a major commercial product of Tin Pan Alley song publishing.
sheng | Chinese mouth-blown free-reed instrument with vertical pipes, ancestor of the harmonica and accordion.
slendro | Five-tone tuning system used in Indonesian gamelan music.
snare drum | Cylindrical drum with wires stretched across its underside, producing a sharp, rattling sound.
sonatina | Small, simplified sonata often used for pedagogical purposes, as in Clementi's collections.
South Korea | Common-link country occasionally tied to contemporary classical performers and composers.
Storms | Recurring musical subject, depicted in Beethoven's Pastoral Symphony and Rossini's William Tell overture.
stretto | Fugal technique overlapping successive entries of the subject before the previous one finishes.
string orchestra | Ensemble made up solely of string instruments, used in works like Elgar's Serenade for Strings.
string quintets | Plural of the chamber genre for five string players, often a quartet plus an extra viola or cello.
strings | Instrument family sounded by vibrating strings, spanning the violin, viola, cello, and double bass.
suite | Multi-movement instrumental collection, often based on dance forms, as in Bach's orchestral and cello suites.
Sviatoslav Richter | Soviet pianist widely regarded as one of the 20th century's greatest, renowned for his vast repertoire.
symphonic poem | Single-movement orchestral genre depicting a narrative or scene, pioneered by Liszt.
Symphony no. 1 | Common symphony-number answer across composers' debut essays in the genre.
tabla | Pair of hand drums central to Hindustani classical music of North India.
tambourine | Handheld percussion instrument with jingling metal discs, shaken or struck.
tempo rubato | Expressive technique of flexibly stretching and compressing tempo without losing the underlying pulse.
Theremin | Early electronic instrument played without physical contact, controlled by hand movements near antennas.
thunderstorms | Recurring musical subject, depicted in Beethoven's Pastoral Symphony and Rossini's William Tell overture.
toccatas | Plural of the virtuosic keyboard or organ form showcasing technical display.
tonality | Organizing principle of Western music centered on a home key, contrasted with atonality.
trill | Ornament consisting of rapid alternation between a note and the one above it.
trumpets | Plural of the brass instrument used in Baroque concertos and jazz.
United Kingdom | Common-link country for English music, from Tudor polyphonists to Elgar, Vaughan Williams, and Britten.
viola sonata | Chamber genre for viola and piano, a rarer counterpart to the violin sonata.
whales | Recurring natural subject, as in George Crumb's whale-song-inspired Vox Balaenae.
William | Common composer first name, shared by William Byrd, William Walton, and William Schuman.
Wind Quintet | Chamber genre for flute, oboe, clarinet, horn, and bassoon.
witches | Recurring musical subject, depicted in Mussorgsky's Night on Bald Mountain and Macbeth-inspired works.
woodblock | Small percussion instrument struck for a sharp, hollow knock, used in orchestral and popular music.
xylophones | Plural of the tuned percussion instrument with wooden bars, used for a bright, rattling timbre.

# Other
Achille-Claude Debussy | 
Kindertotenlieder | 
Schwanengesang | 
